Size,BlockSize,MFLOPS_avg,MFLOPS_std,FLOP
928,4,2423.2505362017423,92.6485239729709,1597496320
960,4,2389.476182405018,55.69528566836198,1768550400
992,4,1882.1489382297339,27.173086852567515,1951398912
1024,4,1422.4606139356708,19.476764912430273,2146435072
32,8,10240.0,724.0773439350247,64512
64,8,8510.687635627728,3665.162835675074,520192
96,8,10369.223369848385,976.3502830920906,1760256
128,8,10044.957416908568,1247.3301363834928,4177920
160,8,9057.463831781175,1405.0215115272206,8166400
192,8,9897.497136517146,461.14673872218606,14118912
224,8,9430.056246749378,657.9308740362063,22428672
256,8,8301.938599883131,1059.5841801879556,33488896
288,8,7820.48644627068,1355.7697334532152,47692800
320,8,10107.143589804806,302.0954488621138,65433600
352,8,8804.517489519683,1416.18776590682,87104512
384,8,7933.718447938322,563.586662924177,113098752
416,8,7728.897427380255,948.2026249804909,143809536
448,8,8522.337228072827,666.0682881888068,179630080
480,8,7904.213632178323,620.9989198883833,220953600
512,8,8572.003807066003,1077.389894824849,268173312
544,8,8689.845276491216,839.5389515560258,321682432
576,8,8902.398936169964,192.61743079491126,381874176
608,8,8137.708532061001,458.4800286754414,449141760
640,8,8632.360645360945,171.45878007159402,523878400
672,8,7665.05723753991,432.81982043574806,606477312
704,8,7808.797432670174,192.72972737830798,697331712
736,8,7700.615456745651,615.8059408594017,796834816
768,8,4978.964240582829,3061.8854668528643,905379840
800,8,6786.919087824154,96.17385185408601,1023360000
832,8,6762.828647758863,620.9010659527473,1151168512
864,8,6507.404955365394,456.28523118514966,1289198592
896,8,6594.267520552414,160.71608554193676,1437843456
928,8,6203.467623110834,253.34040018563547,1597496320
960,8,5900.424069150336,135.5842879703285,1768550400
992,8,5148.972114369573,49.972260226661696,1951398912
1024,8,4370.140227708468,122.16358158424164,2146435072
32,16,3076.6545454545453,119.75847871086384,64512
64,16,2675.0131843011623,700.1375413944721,520192
96,16,3031.423210113153,142.50493734209414,1760256
128,16,3301.4772576336704,100.44201256772422,4177920
160,16,3050.0648802816045,149.15075869391933,8166400
192,16,3117.942548716117,47.67138358920777,14118912
224,16,2915.4452059812124,165.63489406392333,22428672
256,16,2750.3891071016637,373.6609510480928,33488896
288,16,2723.8842292990994,147.54473535628793,47692800
320,16,2742.860899512914,231.2045071780113,65433600
352,16,2735.6151958355354,249.46247140104967,87104512
384,16,2946.724708828866,207.5396087513714,113098752
416,16,2849.297143084476,332.5616126127533,143809536
448,16,3006.9705495886137,55.978638527247455,179630080
480,16,2820.504988513628,135.60450672718855,220953600
512,16,3044.2438865697186,14.752645005098074,268173312
544,16,2897.1108165685255,80.91993195392331,321682432
576,16,2849.8654135522465,54.040672306792885,381874176
608,16,2731.281955925018,94.76791840815454,449141760
640,16,2821.2738461213935,11.468322405442283,523878400
672,16,2750.7271675183474,100.81277201714991,606477312
704,16,2706.5362007266417,80.72256666650122,697331712
736,16,2671.8734570080924,75.11391547308311,796834816
768,16,2673.477329479807,79.10405366592967,905379840
800,16,2521.1858175246794,85.22601439529588,1023360000
832,16,2550.196021782279,178.48378943485616,1151168512
864,16,2679.4880511324855,14.397938274442778,1289198592
896,16,2739.5601783560764,57.2511175505922,1437843456
928,16,2723.7169437608777,26.633780472397344,1597496320
960,16,2675.4605018038897,18.73091612832133,1768550400
992,16,2660.2235691986293,4.43454512172901,1951398912
1024,16,2432.97447145021,113.53798383344196,2146435072
32,32,2758.3740890688255,783.8716254779172,64512
64,32,3327.8467453999965,214.79925150350576,520192
96,32,2904.39016418091,530.6305061211522,1760256
128,32,2725.611333465691,203.35492770507784,4177920
160,32,3235.520518176876,159.6146916454098,8166400
192,32,3023.501128265934,210.86750635837052,14118912
224,32,2890.165763165472,222.25139759936462,22428672
256,32,2557.5339006103604,369.08441247124586,33488896
288,32,2916.9774337853764,78.3591707443888,47692800
320,32,3081.9784461289782,36.50315196765936,65433600
352,32,2927.8821456190476,149.67989034458796,87104512
384,32,2633.665779069977,390.9804149609053,113098752
416,32,3014.8034811662706,57.883909647196454,143809536
448,32,2942.523800822301,31.78713034964083,179630080
480,32,2982.982124745599,38.453683419130414,220953600
512,32,3020.913838055827,30.66524751055014,268173312
544,32,2974.9204831228235,20.733631248157437,321682432
576,32,2864.944971551533,157.93343919315205,381874176
608,32,2959.155296844541,78.26604254741576,449141760
640,32,2909.037553494091,54.40936551862317,523878400
672,32,2887.827148360068,74.47638593143701,606477312
704,32,2811.447973234261,61.2958910166953,697331712
736,32,2766.2088138927197,65.734133023799,796834816
768,32,2889.442713540408,53.52564763093869,905379840
800,32,2857.2891190216474,20.084555738505877,1023360000
832,32,2738.2782227278003,97.88728645375072,1151168512
864,32,2816.890779527155,19.534951472731883,1289198592
896,32,2845.22936961213,69.78292262792876,1437843456
928,32,2882.852278646457,39.40491168074389,1597496320
960,32,2812.7092507237544,57.249410064781316,1768550400
992,32,2789.306600952584,33.95563963465578,1951398912
1024,32,2745.060938707645,65.24289390149497,2146435072
64,64,2987.556276921156,206.659692644418,520192
128,64,2283.5139239530877,248.6151207605614,4177920
192,64,2697.789310610077,170.52594458796813,14118912
256,64,2707.4396180139793,159.37499681951752,33488896
320,64,2578.798329645015,334.93283889082016,65433600
384,64,2841.523329746908,114.25444156760966,113098752
448,64,2764.954144808074,157.79629345935962,179630080
512,64,2728.989440911431,195.48052865555312,268173312
576,64,2662.5517369984527,50.43963811578481,381874176
640,64,2460.2306195786055,377.96827729547203,523878400
704,64,2653.9045042712896,73.12612933928982,697331712
768,64,2674.8290315603294,33.73239147122274,905379840
832,64,2609.206855336774,30.571243272646832,1151168512
896,64,2535.642659074426,55.39574812422975,1437843456
960,64,2052.81621810452,810.9705153859593,1768550400
1024,64,2568.4427251872025,37.52802546622243,2146435072
128,128,2078.810377341033,103.82965485797159,4177920
256,128,1888.2159298526979,65.44097293599556,33488896
384,128,2028.0235146045354,44.922030780466876,113098752
512,128,1970.7977494104537,20.130395392843866,268173312
640,128,1900.7905863665017,31.347679159652007,523878400
768,128,1882.384398268185,28.290727401977815,905379840
896,128,1888.8434034492263,3.5970061766097,1437843456
1024,128,1829.9362310453234,32.36063749425863,2146435072
